,camera_id,filename,image_object_ct,image_object_ct_c,image_object_ct_l,image_object_ct_lr,image_object_ct_r,image_std,timestamp
227,593,1447415426_cctv593.jpg,36,31,31,60,35,0.155901724346,1447415426
228,594,1447415426_cctv594.jpg,7,15,15,21,12,0.0537510176248,1447415426
229,589,1447417229_cctv589.jpg,27,27,27,49,29,0.120727377843,1447417229
230,590,1447417229_cctv590.jpg,7,4,4,10,7,0.188578181853,1447417229
231,592,1447417229_cctv592.jpg,23,15,15,38,29,0.125963048805,1447417229
232,593,1447417229_cctv593.jpg,16,16,16,35,21,0.215214860051,1447417229
233,589,1447419029_cctv589.jpg,29,20,20,46,28,0.21099093247,1447419029
234,590,1447419029_cctv590.jpg,8,6,6,11,6,0.143894363364,1447419029
235,592,1447419029_cctv592.jpg,24,41,41,52,22,0.225520349904,1447419029
236,593,1447419029_cctv593.jpg,39,26,26,45,33,0.130309427981,1447419029
237,589,1447420830_cctv589.jpg,47,10,10,48,40,0.178800421808,1447420830
238,590,1447420830_cctv590.jpg,13,21,21,36,31,0.119106995313,1447420830
239,592,1447420830_cctv592.jpg,25,27,27,40,29,0.120954056261,1447420830
240,593,1447420830_cctv593.jpg,32,13,13,52,38,0.166353594257,1447420830
241,589,1447422630_cctv589.jpg,33,23,23,47,29,0.186732479848,1447422630
242,590,1447422630_cctv590.jpg,23,15,15,33,19,0.210657753625,1447422630
243,592,1447422630_cctv592.jpg,18,26,26,61,23,0.261672345682,1447422630
244,593,1447422630_cctv593.jpg,4,23,23,57,39,0.195053010455,1447422630
245,589,1447424432_cctv589.jpg,15,37,37,46,24,0.114822754643,1447424432
246,590,1447424432_cctv590.jpg,11,11,11,19,12,0.0667765745164,1447424432
247,592,1447424432_cctv592.jpg,10,12,12,28,16,0.0961306522434,1447424432
248,593,1447424432_cctv593.jpg,18,26,26,56,43,0.174574125737,1447424432
249,589,1447426232_cctv589.jpg,27,37,37,42,20,0.172721263832,1447426232
250,590,1447426232_cctv590.jpg,12,2,2,13,12,0.244180490866,1447426232
251,592,1447426232_cctv592.jpg,11,21,21,36,21,0.123485042104,1447426232
252,593,1447426232_cctv593.jpg,22,23,23,80,52,0.177253686137,1447426232
253,589,1447428033_cctv589.jpg,25,25,25,39,28,0.278394183765,1447428033
254,590,1447428033_cctv590.jpg,3,4,4,22,22,0.169990461764,1447428033
255,592,1447428033_cctv592.jpg,24,38,38,50,34,0.201360285047,1447428033
256,593,1447428033_cctv593.jpg,22,22,22,61,47,0.189226775671,1447428033
257,589,1447429833_cctv589.jpg,27,22,22,44,23,0.323079891776,1447429833
258,590,1447429833_cctv590.jpg,10,8,8,16,13,0.158037248712,1447429833
259,592,1447429833_cctv592.jpg,18,22,22,30,21,0.172906219136,1447429833
260,593,1447429833_cctv593.jpg,1,28,28,54,32,0.257814582156,1447429833
261,589,1447431642_cctv589.jpg,18,26,26,38,17,0.291616220272,1447431642
262,590,1447431642_cctv590.jpg,10,12,12,20,15,0.1613608892,1447431642
263,592,1447431642_cctv592.jpg,13,28,28,36,12,0.250754035838,1447431642
264,593,1447431642_cctv593.jpg,32,25,25,51,36,0.22654711406,1447431642
265,589,1447433443_cctv589.jpg,33,24,24,55,33,0.163373694377,1447433443
266,590,1447433443_cctv590.jpg,6,14,14,24,12,0.0476795069587,1447433443
267,593,1447433443_cctv593.jpg,6,41,41,57,25,0.254906151131,1447433443
